C,Penalty,Recall,fpr,tpr,Precision,Accuracy,F1 Score,AUC
0.01,l2,0.01,0.0015,0.00706,1,0.31,0.01,0.5
0.01,l1,0.2,0.0015,0.0035,0.87,0.42,0.33,0.56
100,l1,1,0.00155,0.01413,0.7,0.7,0.82,0.51
0.1,l1,1,0.0124,0.0494,0.7,0.7,0.83,0.51
1000,l2,1,0.031,0.0812,0.7,0.69,0.82,0.5
0.001,l2,0.95,0.0388,0.1166,0.71,0.7,0.81,0.54
0.001,l1,0.95,0.1055,0.2296,0.71,0.7,0.82,0.54
100,l2,1,0.854,0.9611,0.7,0.7,0.82,0.51
1,l2,0.94,0.9937,1,0.72,0.7,0.81,0.55
1,l1,0.97,0.9984,1,0.72,0.71,0.82,0.55
10,l1,0.95,0.9984,1,0.72,0.71,0.82,0.546
0.1,l2,0,1,1,0,0.31,0,0.5
10,l2,0.98,1,1,0.9,0.68,0.15,0.52
1000,l1,1,1,1,0.7,0.7,0.82,0.5